building_id,hour,kwh_usage
dinosaur_gymnaisum,17,11.675447
old_museum,5,3.693214
down_base,20,9.152809
red_houseboat,10,13.347274
dog_planetarium,10,3.881335
green_birdhouse,16,8.230844
old_house,21,4.364158
the_best_office,23,-7.657479
up_museum,17,14.935665
small_houseboat,23,1.941574
Green Office,15,5.432129
fancy_warehouse,6,4.332591
down_base,14,6.576032
down_hospital,6,2.161992
the_best_hydroelectric_plant,6,2.812607
up_museum,21,11.657315
fancy_warehouse,22,2.625143
mauve_windmill,3,4.067655
Mauve School,11,2.208146
fancy_gymnaisum,5,1.440364
dinosaur_office,5,2.348458
shiny_new_warehouse,12,1.893031
mauve_museum,21,5.188808
fancy_opera_house,10,5.486051
Old Opera House,2,4.896324
shiny_new_school,6,3.683601
green_planetarium,8,5.164010
savvy_planetarium,3,4.702655
Shiny New House,7,3.688151
bob's_hydroelectric_plant,19,3.859545
white_school,6,5.144598
savvy_gymnaisum,9,4.203113
down_gymnaisum,13,11.841520
fancy_base,13,4.900093
shiny_new_warehouse,0,-1.137324
small_stadium,15,17.774567
down_office,9,0.908618
savvy_planetarium,16,-11.627653
small_planetarium,6,5.753925
dinosaur_opera_house,19,7.477408
green_opera_house,14,17.919877
shiny_new_houseboat,13,3.983913
Red Warehouse,19,18.118903
bob's_planetarium,6,2.666869
green_market,6,5.480458
white_houseboat,0,4.151259
dog_warehouse,17,14.636634
bob's_school,5,0.924510
down_hospital,18,-4.53808
white_base,15,16.329209
the_best_base,6,6.653599
rusty_old_hospital,14,10.966382
savvy_planetarium,18,15.751666
secret_stadium,19,12.340799
the_best_windmill,1,4.532115
old_warehouse,6,1.730094
dog_hospital,1,4.993008
dog_office,15,-2.174397
small_office,17,3.382471
dog_house,15,14.680655
green_planetarium,20,8.390260
shiny_new_stadium,11,1.318605
mauve_hospital,19,5.387332
up_aquarium,1,3.793208
mauve_opera_house,1,2.250881
Blue Hospital,17,1.956201
shiny_new_windmill,10,-16.733616
shiny_new_birdhouse,20,2.383309
up_museum,12,4.124016
the_best_museum,20,16.910500
dinosaur_windmill,6,5.053129
small_museum,17,2.006274
mauve_houseboat,4,7.481673
red_opera_house,12,-12.472595
up_birdhouse,10,6.550811
Red House,3,6.006130
Rusty Old Gymnaisum,1,3.628525
bob's_aquarium,21,3.127227
fancy_warehouse,17,9.479743
down_base,2,3.333205
dog_hospital,5,9.243536
dog_taco_truck,23,6.922053
secret_base,2,7.037077
mauve_windmill,1,3.503447
small_opera_house,22,7.038494
dinosaur_aquarium,9,6.989459
bob's_gymnaisum,2,5.455172
savvy_planetarium,23,-7.13637
mauve_warehouse,14,2.317720
the_best_stadium,20,0.824222
old_warehouse,12,2.041845
rusty_old_taco_truck,7,7.877558
small_market,19,5.936976
shiny_new_hospital,11,1.912484
green_warehouse,11,5.441575
old_aquarium,10,2.582418
up_base,8,4.940379
old_office,16,19.455827
Dinosaur Planetarium,6,1.076848
bob's_windmill,17,10.307459
secret_aquarium,7,2.011580
green_museum,22,8.337599
fancy_market,13,4.089645
small_market,21,7.785149
down_school,16,7.389720
down_hospital,3,-3.751073
Bob'S Warehouse,5,6.184297
Old Taco Truck,2,2.828878
dog_birdhouse,14,14.415067
red_base,9,12.593246
dog_museum,4,9.093858
savvy_taco_truck,17,10.131486
rusty_old_school,8,4.262053
down_gymnaisum,7,3.812089
rusty_old_aquarium,22,9.257597
green_museum,18,4.068129
secret_hydroelectric_plant,17,-13.516794
small_gymnaisum,9,4.358128
dinosaur_taco_truck,10,2.903373
bob's_houseboat,1,5.972580
dinosaur_birdhouse,0,-4.689164
rusty_old_gymnaisum,0,5.349761
Green Houseboat,12,16.732195
red_hydroelectric_plant,0,1.875920
white_office,16,4.983374
bob's_windmill,5,6.259660
dog_planetarium,1,3.403502
small_museum,4,1.722772
secret_hospital,17,4.631362
small_school,9,-2.058578
green_birdhouse,18,11.165355
Shiny New Taco Truck,6,-3.320642
Small Windmill,4,4.688847
shiny_new_museum,7,-5.789587
white_opera_house,0,10.545593
rusty_old_warehouse,12,16.496985
secret_opera_house,4,4.408386
the_best_opera_house,5,3.931531
red_base,15,13.789879
savvy_stadium,15,14.695194
savvy_hydroelectric_plant,17,10.097036
shiny_new_gymnaisum,0,4.703726
old_stadium,22,5.356257
green_opera_house,20,7.702688
old_planetarium,18,7.051365
old_warehouse,23,1.782771
up_warehouse,20,6.176237
rusty_old_museum,8,11.386617
fancy_stadium,19,5.270367
dog_aquarium,6,3.589306
the_best_windmill,13,6.445662
secret_house,15,10.573776
savvy_office,13,11.746005
bob's_opera_house,12,14.436798
the_best_houseboat,7,5.630226
green_stadium,21,3.107130
the_best_hospital,11,3.851554
green_windmill,3,8.524993
up_planetarium,6,5.451391
Mauve Warehouse,6,2.276015
red_gymnaisum,20,2.777663
red_museum,5,3.367813
shiny_new_opera_house,2,-7.878452
white_house,1,4.924047
the_best_base,14,-12.46788
small_gymnaisum,8,3.047581
bob's_museum,6,-6.224572
savvy_office,9,4.354543
the_best_base,4,4.261147
mauve_school,19,6.291108
dog_office,5,2.117818
bob's_warehouse,6,5.570027
dog_office,17,3.113812
dinosaur_office,9,1.376618
bob's_house,20,4.739541
down_office,10,1.460635
small_houseboat,13,3.471135
down_office,23,0.834549
small_hospital,3,7.844908
dog_school,19,7.598267
dinosaur_gymnaisum,12,8.395851
down_hydroelectric_plant,18,1.187848
blue_base,12,3.728001
red_opera_house,10,6.921295
bob's_houseboat,18,3.982912
small_aquarium,4,8.034068
old_office,22,6.362468
blue_houseboat,3,7.048697
mauve_taco_truck,4,6.430259
blue_opera_house,17,6.649168
red_museum,13,6.457920
Green House,22,6.991496
Rusty Old Windmill,20,3.321397
green_houseboat,11,14.933981
shiny_new_school,18,6.767384
white_market,12,9.363452
dog_house,19,17.206684
blue_hydroelectric_plant,11,12.075307
dog_gymnaisum,5,2.103819
down_base,10,3.206006
blue_stadium,6,1.463772
blue_windmill,0,4.994421
shiny_new_windmill,12,16.763872
dinosaur_stadium,22,2.099511
up_base,9,4.828239
white_windmill,15,11.966051
dinosaur_houseboat,7,5.713256
savvy_school,12,4.799896
Small Warehouse,0,2.724248
bob's_house,0,9.341331
fancy_stadium,23,8.856332
Shiny New School,17,-6.693868
small_hydroelectric_plant,4,6.536068
dog_gymnaisum,17,4.442481
dinosaur_windmill,0,5.428894
rusty_old_taco_truck,12,9.129281
fancy_hospital,14,16.241772
green_planetarium,16,19.066862
dog_birdhouse,18,4.941873
savvy_base,21,1.818692
rusty_old_office,7,3.720420
blue_gymnaisum,13,4.459890
savvy_school,6,8.734499
down_school,1,-4.450554
mauve_aquarium,13,4.699147
dinosaur_school,22,3.204980
fancy_museum,20,16.867578
savvy_taco_truck,8,-5.727088
rusty_old_gymnaisum,9,5.838274
up_opera_house,2,1.686033
dinosaur_aquarium,0,5.523718
red_market,10,2.742275
up_museum,4,6.845953
old_taco_truck,16,7.076565
red_office,6,1.125607
Fancy Base,21,1.674340
fancy_market,5,1.682632
secret_market,22,3.230281
the_best_windmill,0,5.498377
small_windmill,12,15.980458
mauve_market,20,3.441409
secret_houseboat,1,2.986162
up_house,9,4.893419
up_base,4,8.072510
fancy_office,22,2.497976
blue_market,18,2.610368
Up Windmill,14,1.762106
red_aquarium,15,7.597608
small_aquarium,10,4.151836
secret_hydroelectric_plant,18,-13.413876
rusty_old_house,13,12.995197
green_house,12,3.689554
fancy_aquarium,4,2.201593
rusty_old_museum,19,5.415193
rusty_old_windmill,19,3.931498
the_best_planetarium,18,16.179442
up_warehouse,3,5.550449
small_stadium,16,19.592509
blue_office,23,4.829600
green_market,22,-4.855483
the_best_planetarium,20,9.226421
bob's_museum,4,7.426833
down_market,4,2.402869
mauve_gymnaisum,10,8.526501
dog_museum,11,12.441198
down_hydroelectric_plant,0,0.819485
red_house,18,9.941259
savvy_planetarium,10,4.785687
dinosaur_house,23,-2.403443
Shiny New Museum,5,7.687193
savvy_houseboat,13,4.675559
fancy_houseboat,6,1.239546
dinosaur_windmill,18,9.605479
green_office,4,2.564930
secret_school,17,3.704187
old_hospital,7,1.674428
blue_aquarium,7,2.938686
white_birdhouse,19,0.346407
dinosaur_school,19,6.362752
savvy_school,13,-5.089032
dog_taco_truck,12,17.249196
mauve_house,4,-7.951659
secret_taco_truck,0,7.674469
dinosaur_stadium,8,1.632414
old_stadium,7,6.247498
blue_opera_house,6,-3.221322
fancy_hospital,5,8.699864
mauve_windmill,14,5.685117
shiny_new_market,10,4.532360
rusty_old_windmill,9,1.890283
old_base,5,5.920813
small_hospital,14,14.024518
green_aquarium,11,11.824521
old_base,13,8.797680
Down Hydroelectric Plant,16,1.077967
dinosaur_windmill,22,-4.202779
secret_museum,18,10.626993
shiny_new_gymnaisum,21,9.736546
red_houseboat,21,6.073327
red_taco_truck,11,14.393575
fancy_school,20,4.417226
blue_stadium,22,2.116934
dinosaur_base,7,4.446885
down_hydroelectric_plant,10,1.397890
blue_planetarium,1,1.251803
old_house,13,15.331742
savvy_opera_house,13,-5.504226
fancy_taco_truck,10,3.935993
dinosaur_opera_house,3,3.469858
white_stadium,8,4.240642
white_opera_house,14,16.565840
mauve_windmill,4,5.334359
green_museum,12,18.116791
fancy_planetarium,23,4.939440
green_base,10,15.521271
up_hydroelectric_plant,21,0.768485
Up Taco Truck,5,4.088673
old_opera_house,10,5.260080
small_opera_house,20,9.709505
rusty_old_market,16,4.237727
small_hydroelectric_plant,20,6.758600
bob's_hospital,23,-5.35331
shiny_new_hospital,9,-1.749275
red_stadium,11,14.362341
down_gymnaisum,14,-12.075377
bob's_birdhouse,3,6.239536
Blue Office,22,4.475105
dinosaur_market,21,1.213569
down_warehouse,0,7.587591
old_aquarium,15,5.992132
secret_warehouse,6,-6.444103
dinosaur_house,18,3.114754
mauve_museum,6,6.579624
the_best_house,23,2.972760
Down Houseboat,1,3.889456
white_birdhouse,23,-1.165795
blue_base,22,8.659286
green_opera_house,6,6.983724
green_house,9,5.594738
dinosaur_warehouse,11,4.936640
Blue Hospital,1,1.429004
red_market,23,1.924936
white_planetarium,5,4.320713
down_museum,15,6.628944
Bob'S Market,4,6.021391
the_best_house,1,2.761972
red_house,10,3.701591
old_house,19,-5.763549
Secret House,6,4.501792
up_school,21,13.387824
red_taco_truck,1,9.806265
shiny_new_hospital,21,1.814564
down_houseboat,16,3.093080
fancy_taco_truck,12,3.633939
up_school,14,9.455314
mauve_warehouse,8,1.819831
savvy_office,20,6.546986
up_houseboat,22,-10.913109
shiny_new_house,16,6.210487
Down House,8,3.445642
white_museum,11,2.474237
old_windmill,13,16.455932
green_taco_truck,2,7.877414
secret_windmill,4,8.705059
bob's_houseboat,14,9.113787
bob's_office,3,6.080830
bob's_hospital,1,8.098042
red_museum,16,5.828010
fancy_museum,4,-5.909542
red_houseboat,0,8.162014
dog_hydroelectric_plant,23,3.239510
rusty_old_taco_truck,22,6.557825
shiny_new_warehouse,11,1.942713
the_best_warehouse,16,14.141906
secret_opera_house,17,5.427811
green_taco_truck,23,-4.392045
the_best_house,10,4.175643
down_hydroelectric_plant,12,1.466371
small_school,11,2.668001
blue_stadium,21,1.563202
dog_houseboat,13,4.781567
white_base,18,8.076562
old_school,22,3.622881
the_best_market,3,1.297708
the_best_hydroelectric_plant,22,4.014772
rusty_old_planetarium,9,0.874282
up_windmill,19,1.747711
Blue Base,6,-6.880759
savvy_houseboat,4,2.994616
blue_gymnaisum,6,4.323886
up_house,14,16.633556
Shiny New Gymnaisum,2,7.479087
Mauve Hydroelectric Plant,1,4.979977
savvy_stadium,6,6.679049
dinosaur_house,19,2.021712
old_planetarium,23,2.281278
mauve_hydroelectric_plant,20,13.784453
blue_museum,9,5.956532
old_opera_house,0,5.480239
small_birdhouse,14,3.243893
mauve_office,18,15.812228
White Aquarium,16,1.708044
Green Houseboat,14,16.289940
green_warehouse,7,3.331344
white_houseboat,16,6.285637
blue_planetarium,14,-1.529899
dinosaur_office,14,4.344966
savvy_hydroelectric_plant,15,9.164132
the_best_opera_house,13,6.300262
dog_base,1,2.363945
Small Houseboat,6,1.140335
bob's_museum,10,3.826568
shiny_new_planetarium,20,4.904895
bob's_market,8,4.496236
down_hospital,1,-4.516062
dinosaur_market,2,1.198191
red_taco_truck,20,5.153619
dog_birdhouse,1,8.702394
mauve_museum,15,18.025948
savvy_birdhouse,4,4.925658
down_house,3,7.799318
fancy_office,19,1.505400
old_hospital,22,2.084166
The Best Stadium,6,0.838360
shiny_new_market,4,-2.464984
old_warehouse,0,1.107542
up_planetarium,5,4.231558
small_market,7,8.726220
dinosaur_gymnaisum,6,4.561914
savvy_hospital,17,4.330493
mauve_opera_house,7,2.199771
savvy_house,21,6.654959
up_houseboat,12,4.679734
Blue House,8,3.967353
blue_warehouse,15,7.184972
the_best_aquarium,10,2.598840
dog_warehouse,2,9.732173
the_best_market,20,1.530119
red_birdhouse,8,-4.078812
savvy_hospital,9,-13.883898
white_school,11,3.110667
dog_houseboat,16,3.822412
down_hospital,8,2.991698
white_warehouse,14,3.676375
dinosaur_windmill,20,4.881826
green_planetarium,7,6.309991
the_best_birdhouse,15,11.302156
dinosaur_hydroelectric_plant,18,5.096591
down_school,3,4.587709
fancy_taco_truck,8,5.995242
red_hospital,0,5.734874
dinosaur_hospital,18,0.709832
Red Stadium,12,14.029854
savvy_base,17,2.064443
shiny_new_office,6,7.851401
rusty_old_stadium,13,5.411583
shiny_new_museum,2,5.343477
Green Hospital,15,7.549465
rusty_old_birdhouse,10,1.317457
secret_aquarium,4,3.205884
bob's_aquarium,22,4.149718
mauve_taco_truck,22,11.967006
mauve_house,17,13.880353
green_market,17,-9.755013
small_planetarium,2,4.718466
small_stadium,21,11.538280
fancy_museum,12,4.345958
savvy_windmill,3,5.173804
dog_hydroelectric_plant,1,4.175630
blue_house,10,5.620589
fancy_windmill,10,2.671677
savvy_house,3,4.847053
down_office,13,1.778982
old_houseboat,21,3.102942
white_office,11,4.545267
old_market,6,3.207454
shiny_new_taco_truck,9,1.799554
rusty_old_windmill,2,3.081370
dog_warehouse,7,5.194160
down_house,19,8.553079
bob's_warehouse,8,4.149423
dog_warehouse,4,8.624487
small_market,2,-7.765913
the_best_stadium,14,1.070192
white_windmill,22,9.324037
dinosaur_warehouse,6,3.129735
shiny_new_hospital,18,1.547216
White Office,21,2.342795
blue_birdhouse,13,3.496256
fancy_market,22,1.639645
bob's_market,2,4.075614
Fancy Market,23,1.307842
blue_hydroelectric_plant,9,6.323816
bob's_stadium,14,3.409446
fancy_office,0,2.215887
Blue Taco Truck,12,9.491799
savvy_aquarium,12,9.640456
up_museum,9,5.853159
down_museum,5,3.367466
Green Houseboat,5,4.706133
up_opera_house,11,2.179856
the_best_houseboat,6,5.385504
bob's_gymnaisum,6,3.426702
rusty_old_gymnaisum,2,3.674980
fancy_warehouse,12,5.182776
Dog Aquarium,16,-5.916467
dinosaur_house,2,2.356726
secret_hydroelectric_plant,22,7.008344
fancy_museum,23,-9.26975
red_warehouse,1,5.286243
dog_opera_house,20,3.760801
Mauve Opera House,2,2.513832
old_aquarium,2,2.932914
the_best_market,2,1.560204
white_aquarium,11,1.523382
savvy_house,10,13.976618
small_opera_house,3,3.334034
white_market,7,-7.809464
bob's_taco_truck,5,4.636993
mauve_planetarium,11,3.968244
down_house,1,5.427388
white_museum,7,4.374739
white_aquarium,1,0.810215
green_gymnaisum,21,6.566806
down_planetarium,4,9.664069
dog_stadium,1,3.670655
dinosaur_school,9,-2.135692
shiny_new_warehouse,23,1.476423
small_warehouse,2,2.881282
down_warehouse,20,6.729211
mauve_windmill,20,-11.06648
fancy_base,1,3.119900
savvy_museum,22,1.901631
rusty_old_hydroelectric_plant,0,-3.02229
up_birdhouse,11,9.345564
Secret Taco Truck,3,5.112302
White Hydroelectric Plant,8,4.031005
shiny_new_opera_house,22,4.186687
secret_warehouse,11,4.291588
mauve_warehouse,18,3.228685
Dog Houseboat,19,1.452653
mauve_houseboat,23,8.263281
dinosaur_school,17,7.441528
shiny_new_windmill,1,7.972002
bob's_office,12,6.963293
green_house,3,5.197717
bob's_windmill,8,3.271057
savvy_planetarium,15,9.555717
savvy_hospital,7,-8.353198
blue_market,20,3.185364
rusty_old_windmill,8,2.119035
dinosaur_hospital,5,0.947150
Dinosaur Opera House,21,5.690008
rusty_old_house,16,10.891073
the_best_school,18,5.359137
green_aquarium,17,5.318856
The Best Opera House,15,7.449900
green_taco_truck,1,-6.426203
Green Market,15,8.553118
Dinosaur Stadium,20,2.636163
dog_opera_house,13,7.867119
red_office,23,0.985815
White Office,10,3.696146
green_warehouse,19,2.375894
secret_opera_house,23,7.881448
Secret Taco Truck,23,-8.659811
blue_market,10,6.420639
white_stadium,15,17.400913
red_warehouse,17,16.110277
secret_taco_truck,20,5.326062
red_house,6,-5.351371
shiny_new_aquarium,21,1.270049
mauve_market,19,3.104656
blue_taco_truck,23,5.548269
mauve_birdhouse,6,-4.624378
white_museum,17,6.449066
savvy_base,16,3.077158
old_gymnaisum,22,5.772658
Old Stadium,21,-7.137627
down_museum,12,11.832033
bob's_windmill,15,10.954631
up_gymnaisum,23,2.400051
red_aquarium,5,5.198564
dog_birdhouse,13,17.291615
Blue Museum,21,3.966958
secret_birdhouse,13,-15.697771
blue_windmill,3,8.277373
down_gymnaisum,21,3.906819
fancy_base,10,2.428851
mauve_gymnaisum,15,7.601265
secret_birdhouse,9,10.447182
bob's_school,9,-1.394735
up_houseboat,4,-5.616865
dog_gymnaisum,21,3.374692
fancy_houseboat,18,0.702437
mauve_houseboat,17,16.591618
green_office,21,2.406494
red_warehouse,18,17.863610
down_opera_house,1,5.850640
dinosaur_aquarium,3,4.464752
Red Aquarium,8,5.029779
mauve_windmill,23,6.637227
bob's_houseboat,9,5.264237
dog_windmill,13,14.488107
savvy_warehouse,22,-4.189567
bob's_market,3,5.790355
blue_hospital,2,1.791346
Green School,15,10.522962
blue_planetarium,6,0.929298
up_warehouse,18,4.968019
fancy_gymnaisum,6,-0.971997
Green Museum,8,11.382846
the_best_market,23,1.613300
white_gymnaisum,20,13.873362
up_school,10,5.642597
rusty_old_school,4,3.434900
blue_taco_truck,2,8.227460
fancy_houseboat,5,1.650919
mauve_aquarium,8,7.119392
old_taco_truck,9,2.384373
savvy_planetarium,19,15.573270
small_windmill,22,7.443180
red_planetarium,21,1.973408
Dinosaur Opera House,16,6.431054
fancy_houseboat,17,-1.467015
Mauve House,8,5.733352
Dinosaur Hospital,11,2.056825
red_market,3,1.741161
blue_opera_house,3,5.674747
savvy_warehouse,15,10.266798
white_taco_truck,20,-6.003149
dinosaur_base,11,10.553184
mauve_planetarium,14,7.257284
up_base,20,-7.539481
mauve_windmill,18,11.281602
dinosaur_office,3,2.664594
old_taco_truck,23,2.312824
dinosaur_base,9,8.610471
shiny_new_office,16,15.584027
red_taco_truck,7,5.379271
savvy_hydroelectric_plant,11,3.011008
Savvy Base,22,1.571766
blue_hospital,15,2.216689
small_opera_house,4,4.115429
up_house,17,18.544013
shiny_new_hospital,3,1.750881
the_best_base,17,5.298576
up_aquarium,23,-3.724986
rusty_old_planetarium,2,1.527844
old_school,16,13.260157
the_best_gymnaisum,23,2.920633
up_hospital,9,4.379425
savvy_market,0,5.692567
the_best_houseboat,0,8.693135
the_best_hospital,23,2.600145
white_taco_truck,8,2.559065
blue_museum,3,8.386330
